"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert","probability","package_names"
"thanks to di menu jangan dihapus!!!!","none","Buat wm:v © Its Tamz","single","","","c","","","","","0","","","","","","","","seconds","0","1","","",,,,,,,,,
"#menu","none","*『Menu inc.bot』*\n\n*Hai Kawan! Ayo, Dapatkan ""csv"" Ini dengan*\n*Donasi Pulsa Sebesar 20.000!*✨\n┏━━━━━━━━━━━━━━━━━━━━┓\n┃╭───────────────────\n┃│++ inc.bot is verified ✓\n┃│+ Delay _7s_\n┃│+ Prefix: *「#」*\n┃│+ Versi: *4.0*\n┃│+ Owner: *TamaGans*\n┃│+ Nomor: _wa.me/6282211224927_\n┃│+ *4829* _Total Pengguna_\n┃│+ \n┃╰───────────────────\n┗━━━━━━━━━━━━━━━━━━━━┛\n\n_Berikut adalah Menu *Simple* yg ada pada_\nBot Ini Jika tidak Paham Ketik *#bot*\n\n✘ ▬▬▬▬『 *_Bot Game_* 』▬▬▬▬ ✘\n┏━━━━━━━━━━━━━━━━━━━━┓\n┃╭───────────────────\n┃│● *#suit*\n┃│● *#dadu*\n┃│● *#koin*\n┃│● *#spin*\n┃│● *#slep*\n┃│● *#bal*\n┃│● *#bet*\n┃│● *#apakah*\n┃│● *#bisakah*\n┃│● *#kapankah*\n┃│● *#tebakangka*\n┃│───────────────────\n┃│► *#bugreport* _<text>_\n┃╰───────────────────\n┗━━━━━━━━━━━━━━━━━━━━┛\n✘ ▬▬▬▬『 *_and other_* 』▬▬▬▬ ✘\n\n► *Note:* _Mainkan Menu diatas_\n_dan Kalahkan Temanmu!_\n\n```Bot ini dibuat oleh:```\n► *_TamaGans_* ✔️","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"*","none","*Maaf Komen* [%message%] *Tidak Tersedia di Dalam Menu.*\n*Ketik* _#menu_ *Untuk Menampilkan Menu Yang Tersedia.*","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#suit","none","Pilihannya cuma batu/gunting/kertas.","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#suit b,#suit batu","none","_yah jawabanmu sama bot seri_\n\n```Hasil Jawaban:```\n\n*➸ Jawabanmu* : batu\n*➸ Jawaban BOT* : batu<#>_wah kamu menang sama bot_\n\n```Hasil Jawaban:```\n\n*➸ Jawabanmu* : batu\n*➸ Jawaban BOT* : gunting<#>_yah kamu kalah sama bot_\n\n```Hasil Jawaban:```\n\n*➸ Jawabanmu* : batu\n*➸ Jawaban BOT* : kertas","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#suit g,#suit gunting","none","_yah jawabanmu sama bot seri_\n\n```Hasil Jawaban:```\n\n*➸ Jawabanmu* : gunting\n*➸ Jawaban BOT* : gunting<#>_wah kamu menang sama bot_\n\n```Hasil Jawaban:```\n\n*➸ Jawabanmu* : gunting\n*➸ Jawaban BOT* : kertas<#>_yah kamu kalah sama bot_\n\n```Hasil Jawaban:```\n\n*➸ Jawabanmu* : gunting\n*➸ Jawaban BOT* : batu","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#suit k,#suit kertas","none","_yah jawabanmu sama bot seri_\n\n```Hasil Jawaban:```\n\n*➸ Jawabanmu* : kertas\n*➸ Jawaban BOT* : kertas<#>_wah kamu menang sama bot_\n\n```Hasil Jawaban:```\n\n*➸ Jawabanmu* : kertas\n*➸ Jawaban BOT* : batu<#>_yah kamu kalah sama bot_\n\n```Hasil Jawaban:```\n\n*➸ Jawabanmu* : kertas\n*➸ Jawaban BOT* : gunting","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#suit*","normal","No detected text, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih text pilihan!\nContoh: #suit batu\n\nIngat kasih spasi setelah *""#suit!""*<#>No detected text, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih text pilihan!\nContoh: #suit gunting\n\nIngat kasih spasi setelah *""#suit!""*<#>No detected text, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih text pilihan!\nContoh: #suit kertas\n\nIngat kasih spasi setelah *""#suit!""*","all","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#dadu","none","⚀Kamu mendapatkan angka *1*\nNjir gak mendapatkan uang 💸<#>⚁Kamu mendapatkan angka *2*\nKamu sangat beruntung!<#>⚂Kamu mendapatkan angka *3*\nKamu sangat beruntung!<#>⚃Kamu mendapatkan angka *4*\nKamu sangat beruntung!<#>⚄Kamu mendapatkan angka *5*\nKamu sangat beruntung!<#>⚅Kamu mendapatkan angka *6*\nKamu mendapatkan uang 10 Rupiah<#>⚅Kamu mendapatkan angka *6*\nKamu mendapatkan uang 9 Rupiah<#>⚅Kamu mendapatkan angka *6*\nKamu mendapatkan uang 8 Rupiah<#>⚅Kamu mendapatkan angka *6*\nKamu mendapatkan uang 7 Rupiah<#>⚅Kamu mendapatkan angka *6*\nKamu mendapatkan uang 6 Rupiah<#>⚅Kamu mendapatkan angka *6*\nKamu mendapatkan uang 5 Rupiah","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#koin","none","Pilihannya cuma uang dan gambar","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
